HashFunction,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
dh,31642,185,103,115,189,199,205,214,227,388
eg,7498,128,127,127,128,128,128,128,134,134
ip,17206,234,142,183,229,244,251,255,256,260
vp,18287,154,133,141,154,156,158,162,164,182
ir,64386,116,100,103,114,116,119,129,135,146
knn,17236,111,111,111,112,112,112,112,113,113
alu,22131,128,108,108,125,130,134,143,149,163
ms,14312,157,123,146,156,158,162,164,166,168
gd,24969,121,106,108,114,121,128,129,134,143
dv,20204,125,111,114,117,130,130,133,134,181
